                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7655,                 2.2668,                 1.2653,                0.95974,                  0.585,                0.79405,                0.45946,                 1.1064,                 4.7022,                 0.9178,             0.00065686,             0.00065686,             0.00065686
                      1,                 1.5045,                 1.3095,                 1.1351,                0.56786,                0.57669,                  0.585,                 0.3175,                 1.2348,                 17.031,                 1.0091,              0.0013209,              0.0013209,              0.0013209
                      2,                 1.4821,                 1.2168,                 1.1245,                 0.7834,                0.80982,                0.86126,                 0.5727,                0.99301,                 3.5627,                0.87407,              0.0019823,              0.0019823,              0.0019823
                      3,                 1.4825,                 1.1665,                 1.1193,                0.86169,                0.61154,                0.77394,                0.44662,                 1.2224,                 2.2384,                0.94011,              0.0019881,              0.0019881,              0.0019881
                      4,                 1.4029,                 1.0949,                 1.1065,                 0.8381,                0.83436,                0.87266,                0.55341,                0.93245,                 7.9961,                0.85209,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.3545,                 1.0159,                 1.0863,                0.92525,                0.80368,                0.89552,                0.58996,                 1.0447,                 2.3513,                0.89145,              0.0019842,              0.0019842,              0.0019842
                      6,                 1.3628,                0.96051,                 1.0963,                0.81385,                 0.8315,                0.84715,                0.51968,                 1.1435,                  2.656,                0.95359,              0.0019802,              0.0019802,              0.0019802
                      7,                 1.3154,                 0.9936,                 1.0805,                 0.8673,                0.79755,                0.85168,                0.58778,                0.95302,                 1.4661,                0.85609,              0.0019762,              0.0019762,              0.0019762
                      8,                 1.2733,                0.94929,                 1.0588,                0.89452,                0.83242,                0.87692,                0.59129,                0.95328,                 1.1393,                0.84567,              0.0019723,              0.0019723,              0.0019723
                      9,                 1.3034,                0.91644,                 1.0776,                0.90349,                0.87117,                0.89809,                0.62664,                 1.0055,                 2.8539,                0.87114,              0.0019683,              0.0019683,              0.0019683
                     10,                 1.2227,                0.90565,                 1.0445,                0.91048,                0.89571,                0.91193,                0.59574,                  1.038,                  2.604,                0.87386,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.2724,                0.90349,                 1.0689,                 0.9186,                0.82209,                 0.8971,                0.59303,                 1.0201,                 2.3883,                0.86964,              0.0019604,              0.0019604,              0.0019604
                     12,                 1.2718,                0.87746,                 1.0548,                 0.9063,                0.92025,                0.90668,                0.63725,                 0.9028,                 1.2244,                0.82139,              0.0019564,              0.0019564,              0.0019564
                     13,                 1.1573,                0.85476,                 1.0193,                0.91304,                0.90183,                0.90983,                0.64517,                0.96602,                0.93047,                 0.8359,              0.0019525,              0.0019525,              0.0019525
                     14,                 1.2095,                0.89678,                 1.0586,                0.89314,                0.91411,                0.92632,                 0.6691,                0.87479,                0.98629,                0.83655,              0.0019485,              0.0019485,              0.0019485
                     15,                 1.1594,                0.82373,                 1.0194,                0.87908,                0.90798,                0.91257,                0.66217,                0.91248,                 1.0213,                0.82733,              0.0019446,              0.0019446,              0.0019446
                     16,                 1.1462,                0.84283,                 1.0187,                0.95262,                0.86342,                0.92955,                0.63736,                0.93512,                 1.2051,                0.85506,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.2101,                0.82838,                 1.0408,                0.90116,                0.89494,                0.90909,                0.65591,                0.77054,                  2.505,                0.80024,              0.0019366,              0.0019366,              0.0019366
                     18,                 1.1269,                0.77016,                 1.0287,                0.93187,                0.83917,                0.89786,                 0.6603,                 1.0255,                 2.2225,                0.87494,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.1379,                 0.7857,                 1.0175,                 0.9298,                0.89386,                0.92059,                0.68478,                0.97185,                0.99226,                0.86716,              0.0019287,              0.0019287,              0.0019287
                     20,                 1.1456,                0.78417,                 1.0282,                0.90309,                0.91473,                0.93757,                 0.6868,                0.75951,                 2.1789,                0.79749,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.2045,                0.80831,                 1.0354,                  0.929,                0.86503,                0.92728,                0.66066,                  1.081,                 1.0005,                 0.8942,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.1256,                0.77746,                 1.0265,                0.92917,                0.88526,                0.93265,                0.66687,                 1.0102,                0.78203,                0.87253,              0.0019168,              0.0019168,              0.0019168
                     23,                 1.1642,                0.80751,                 1.0392,                0.93888,                0.90798,                0.93562,                0.69499,                 1.0002,                0.81187,                0.87839,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.1541,                0.77051,                 1.0213,                0.90761,                0.90798,                0.91976,                 0.6753,                0.88517,                0.78676,                0.81663,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.0934,                0.74402,                 1.0078,                0.91208,                0.89099,                0.92718,                0.65735,                0.90683,                 1.0248,                0.83457,               0.001905,               0.001905,               0.001905
                     26,                  1.133,                0.75804,                 1.0112,                0.96616,                0.87591,                0.92175,                0.67583,                0.91728,                 1.0325,                0.85819,               0.001901,               0.001901,               0.001901
                     27,                 1.1115,                0.73823,                 1.0092,                0.94069,                0.88957,                 0.9349,                0.68235,                0.85299,                 1.6243,                 0.8155,               0.001897,               0.001897,               0.001897
                     28,                 1.0612,                0.72532,                 1.0022,                0.93006,                0.92025,                0.90823,                0.67224,                 1.0774,                 1.1394,                0.91999,              0.0018931,              0.0018931,              0.0018931
                     29,                 1.1723,                0.75755,                 1.0172,                0.93095,                0.90979,                0.92819,                0.68651,                0.89752,                 2.6795,                0.82908,              0.0018891,              0.0018891,              0.0018891
                     30,                 1.1337,                0.76807,                 1.0006,                0.94532,                0.88344,                0.91894,                0.68765,                 1.0362,                0.75817,                0.94727,              0.0018852,              0.0018852,              0.0018852
                     31,                 1.0769,                0.70375,                 1.0038,                0.92857,                0.87729,                0.90937,                0.66302,                0.95376,                0.92189,                0.90486,              0.0018812,              0.0018812,              0.0018812
                     32,                 1.0884,                0.71624,                 1.0255,                0.93477,                0.89571,                0.92727,                0.68744,                 0.8401,                0.76734,                0.79772,              0.0018772,              0.0018772,              0.0018772
                     33,                 1.0954,                 0.7426,                 1.0024,                0.91033,                0.90184,                0.91647,                0.66907,                0.97856,                 2.4477,                0.86088,              0.0018733,              0.0018733,              0.0018733
                     34,                 1.0344,                0.72032,                  0.988,                0.92216,                0.88344,                0.92697,                0.67418,                0.88355,                 1.7126,                0.83626,              0.0018693,              0.0018693,              0.0018693
                     35,                  1.091,                0.73515,                 1.0148,                0.96023,                0.88877,                 0.9056,                0.67527,                0.98418,                 2.0357,                0.87523,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.0672,                 0.6914,                0.99647,                0.91925,                0.87117,                0.91753,                 0.6652,                 1.0229,                0.93943,                0.92145,              0.0018614,              0.0018614,              0.0018614
                     37,                 1.0326,                0.68203,                0.98667,                0.93358,                0.86237,                0.91953,                0.70056,                0.87108,                 2.1865,                0.81865,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.0682,                 0.7107,                0.99974,                0.95275,                0.88957,                0.93412,                0.73006,                0.82602,                0.85562,                0.81557,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.0587,                0.72045,                 1.0043,                0.94428,                0.88344,                0.91774,                0.69362,                 0.7815,                0.86033,                0.79837,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.0379,                 0.6704,                0.98303,                0.92423,                0.88957,                0.94477,                 0.7013,                0.80003,                0.88116,                0.79365,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.0282,                0.66493,                0.98516,                0.95457,                0.89571,                 0.9477,                 0.7212,                0.81786,                0.86887,                0.79611,              0.0018416,              0.0018416,              0.0018416
                     42,                   1.04,                0.69297,                0.99071,                0.92643,                0.92709,                0.94584,                 0.7165,                0.93989,                0.99426,                0.83104,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.0624,                0.70531,                 1.0006,                0.96745,                0.87117,                0.94059,                 0.7166,                 0.7995,                0.65904,                0.79778,              0.0018337,              0.0018337,              0.0018337
                     44,                 1.0189,                0.68528,                0.96814,                0.94706,                0.91411,                0.93997,                0.69634,                0.94601,                 1.0429,                0.82827,              0.0018297,              0.0018297,              0.0018297
                     45,                  1.058,                0.69176,                0.99637,                0.93561,                0.89138,                0.93359,                0.70159,                 1.0524,                0.80992,                 0.8712,              0.0018258,              0.0018258,              0.0018258
                     46,                 1.0414,                0.68253,                0.98239,                0.94153,                0.91411,                0.94606,                0.72069,                0.83217,                0.81155,                0.79884,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.0426,                0.64863,                0.97027,                0.95333,                0.92638,                0.94932,                0.72438,                0.83518,                 1.5041,                0.80045,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.0082,                0.66131,                0.97099,                0.94298,                0.91321,                0.94029,                0.70504,                0.72352,                 0.7061,                0.77068,              0.0018139,              0.0018139,              0.0018139
                     49,                 1.0684,                 0.7141,                0.97407,                0.93276,                0.91411,                0.93944,                0.69495,                0.85401,                 1.0516,                0.81183,              0.0018099,              0.0018099,              0.0018099
                     50,                0.98147,                0.65897,                0.96929,                0.94299,                0.91336,                0.93346,                0.74121,                0.91119,                 1.0441,                0.86439,               0.001806,               0.001806,               0.001806
                     51,                 1.0141,                0.65895,                0.98049,                0.94441,                0.90184,                0.94441,                 0.7298,                 0.7353,                0.85141,                0.78328,               0.001802,               0.001802,               0.001802
                     52,                 1.0219,                0.67144,                0.99511,                0.95073,                0.91411,                0.92072,                0.71154,                0.84577,                0.96737,                0.81994,               0.001798,               0.001798,               0.001798
                     53,                0.99995,                0.66449,                0.97831,                0.93142,                0.92638,                0.94883,                0.72848,                0.71018,                0.94454,                0.77402,              0.0017941,              0.0017941,              0.0017941
                     54,                 1.0636,                0.70009,                0.99833,                0.94824,                0.89913,                0.94509,                0.71273,                0.90442,                0.98016,                0.83393,              0.0017901,              0.0017901,              0.0017901
                     55,                 1.0294,                 0.6678,                0.97911,                0.95537,                0.88344,                0.92566,                0.71052,                0.83584,                 1.3184,                0.79576,              0.0017862,              0.0017862,              0.0017862
                     56,                 1.0412,                0.67068,                0.98874,                0.91958,                0.90184,                0.93405,                0.72662,                0.81921,                0.90636,                0.81353,              0.0017822,              0.0017822,              0.0017822
                     57,                0.98988,                0.62862,                0.98365,                0.93819,                0.93865,                 0.9574,                0.73261,                  0.887,                 1.0465,                0.81501,              0.0017782,              0.0017782,              0.0017782
                     58,                0.99286,                0.66359,                0.96842,                0.93311,                0.89571,                0.93409,                0.72681,                0.73995,                0.85907,                0.77694,              0.0017743,              0.0017743,              0.0017743
                     59,                 0.9559,                0.62391,                0.96685,                0.95399,                0.92025,                0.94805,                0.72516,                0.85367,                0.88528,                0.81478,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.0078,                0.65444,                0.97742,                0.95423,                0.89537,                0.95198,                0.72543,                0.90275,                 1.0666,                0.84375,              0.0017664,              0.0017664,              0.0017664
                     61,                 1.0369,                0.64344,                 1.0035,                0.95107,                0.91411,                0.94309,                0.69551,                0.82515,                0.88202,                 0.8055,              0.0017624,              0.0017624,              0.0017624
                     62,                0.98274,                0.62798,                0.95586,                0.94987,                 0.8589,                 0.9303,                0.71446,                 0.8994,                0.91518,                0.83039,              0.0017584,              0.0017584,              0.0017584
                     63,                 1.0201,                0.63678,                0.97632,                0.95533,                0.91843,                0.94647,                0.74698,                 0.8264,                0.82615,                0.80859,              0.0017545,              0.0017545,              0.0017545
                     64,                0.96635,                 0.6222,                0.96126,                0.91266,                0.88957,                0.93596,                0.70228,                0.81616,                0.87038,                0.84153,              0.0017505,              0.0017505,              0.0017505
                     65,                0.99645,                0.67201,                0.96294,                0.93435,                0.92638,                0.94154,                0.72585,                0.93523,                0.95922,                0.83901,              0.0017466,              0.0017466,              0.0017466
                     66,                0.95614,                0.62894,                0.96392,                0.94612,                0.90798,                0.95012,                0.72285,                0.82897,                0.76166,                0.82651,              0.0017426,              0.0017426,              0.0017426
                     67,                0.97973,                0.63753,                0.96674,                0.94798,                0.89438,                0.93815,                0.72591,                0.80948,                0.75169,                0.80577,              0.0017386,              0.0017386,              0.0017386
                     68,                0.97051,                 0.6404,                0.96387,                0.94706,                0.91411,                0.93962,                0.72907,                0.83954,                0.79035,                0.82938,              0.0017347,              0.0017347,              0.0017347
                     69,                0.99438,                0.64969,                 0.9779,                0.95491,                0.90956,                0.92938,                0.72378,                0.89566,                0.89995,                0.81888,              0.0017307,              0.0017307,              0.0017307
                     70,                0.98638,                0.65083,                0.96189,                0.94794,                0.89372,                0.93332,                 0.7219,                0.84348,                 0.8091,                0.79882,              0.0017268,              0.0017268,              0.0017268
                     71,                0.97376,                0.63454,                0.97083,                0.93704,                0.88957,                0.93286,                0.70913,                0.93083,                 1.0263,                0.83423,              0.0017228,              0.0017228,              0.0017228
                     72,                0.97712,                0.62636,                0.96104,                0.94792,                0.90798,                0.94416,                0.72215,                0.85443,                0.87198,                0.82194,              0.0017188,              0.0017188,              0.0017188
                     73,                0.96187,                0.60699,                 0.9699,                 0.9426,                0.92638,                0.94536,                0.75721,                 0.8098,                0.94373,                0.79531,              0.0017149,              0.0017149,              0.0017149
                     74,                0.96867,                0.63914,                0.96487,                0.95438,                0.89836,                 0.9425,                0.71671,                0.90174,                0.87153,                 0.8268,              0.0017109,              0.0017109,              0.0017109
                     75,                0.93887,                0.62131,                0.96246,                0.94901,                0.93865,                0.95136,                0.75866,                0.79618,                0.84508,                0.78099,               0.001707,               0.001707,               0.001707
                     76,                0.98069,                 0.6004,                0.95944,                0.94265,                0.91411,                0.94945,                0.74309,                0.91436,                0.85516,                0.82437,               0.001703,               0.001703,               0.001703
                     77,                0.95811,                0.62455,                0.99278,                0.93431,                0.91411,                0.94031,                0.74042,                  0.775,                0.58539,                0.78852,               0.001699,               0.001699,               0.001699
                     78,                0.95535,                0.63088,                0.97161,                0.94249,                0.91411,                0.94054,                0.72838,                0.81354,                 0.8816,                0.79387,              0.0016951,              0.0016951,              0.0016951
                     79,                0.96347,                0.64363,                0.96707,                0.95968,                0.92025,                0.94798,                0.73407,                0.88584,                0.94146,                0.83781,              0.0016911,              0.0016911,              0.0016911
                     80,                0.97456,                0.61473,                0.95457,                0.96725,                0.90611,                0.94344,                0.75031,                0.77412,                0.80285,                0.78675,              0.0016872,              0.0016872,              0.0016872
                     81,                0.97044,                0.60226,                0.97453,                0.95804,                0.90184,                0.94013,                0.74099,                0.83875,                0.76863,                0.79677,              0.0016832,              0.0016832,              0.0016832
                     82,                0.95547,                0.60353,                0.95623,                0.95411,                0.92025,                0.92771,                0.72895,                0.80474,                0.69053,                0.79658,              0.0016792,              0.0016792,              0.0016792
                     83,                0.92047,                0.58631,                0.94657,                0.91906,                0.93865,                0.93173,                0.73777,                 0.8641,                0.80125,                0.85283,              0.0016753,              0.0016753,              0.0016753
                     84,                0.96443,                0.60341,                0.96074,                0.94284,                0.93252,                0.94035,                0.73955,                0.71381,                0.76739,                0.77037,              0.0016713,              0.0016713,              0.0016713
                     85,                0.95126,                 0.5822,                0.94868,                0.92093,                0.92891,                0.95212,                0.74333,                0.73833,                0.68025,                0.77357,              0.0016674,              0.0016674,              0.0016674
                     86,                0.94997,                0.59111,                0.97091,                0.94765,                0.93252,                  0.953,                 0.7434,                0.76454,                0.62086,                 0.7812,              0.0016634,              0.0016634,              0.0016634
                     87,                0.96593,                0.62615,                0.96494,                 0.9415,                0.93865,                0.93643,                0.71969,                0.74649,                0.89398,                0.77907,              0.0016594,              0.0016594,              0.0016594
                     88,                0.94078,                0.59796,                0.95544,                0.94967,                  0.926,                0.93869,                0.72028,                0.80813,                0.74595,                0.80722,              0.0016555,              0.0016555,              0.0016555
                     89,                0.90929,                0.57358,                0.94817,                 0.9553,                0.91772,                0.94151,                0.72524,                0.85574,                0.71499,                0.82222,              0.0016515,              0.0016515,              0.0016515
                     90,                0.94685,                0.58732,                 0.9489,                0.96166,                0.93252,                0.93116,                0.73492,                0.81362,                 1.0443,                0.80711,              0.0016476,              0.0016476,              0.0016476
                     91,                0.96709,                0.61143,                 0.9713,                 0.9488,                0.92638,                0.94039,                0.74212,                0.81285,                 0.9364,                0.79962,              0.0016436,              0.0016436,              0.0016436
                     92,                0.95795,                 0.6091,                0.98278,                0.96703,                0.90184,                0.94586,                0.74759,                0.76257,                 0.7322,                0.77931,              0.0016396,              0.0016396,              0.0016396
                     93,                0.93916,                 0.6164,                0.95178,                0.94642,                0.93865,                0.95419,                0.74784,                0.69739,                0.76734,                0.75801,              0.0016357,              0.0016357,              0.0016357
                     94,                0.93696,                0.58474,                0.94622,                0.94923,                 0.9177,                0.94646,                0.75481,                0.74459,                0.79772,                0.77138,              0.0016317,              0.0016317,              0.0016317
                     95,                0.92174,                0.58716,                0.94407,                0.93934,                0.93865,                0.93803,                0.73966,                0.83941,                0.77093,                0.78739,              0.0016278,              0.0016278,              0.0016278
                     96,                0.98642,                0.59738,                0.96991,                0.94815,                0.92025,                0.95123,                0.74066,                0.87498,                0.68795,                0.80716,              0.0016238,              0.0016238,              0.0016238
